name,city,rating,rating_count,cost,main_city,cuisine
AB FOODS POINT,ABOHAR,4.5,91,200,OTHER,BEVERAGES
JANTA SWEET HOUSE,ABOHAR,4.5,80,200,OTHER,SWEETS
THEKA COFFEE DESI,ABOHAR,4.0,300,100,OTHER,BEVERAGES
SINGH HUT,ABOHAR,4.0,30,250,OTHER,FAST FOOD
GRILL MASTERS,ABOHAR,4.5,91,250,OTHER,ITALIAN-AMERICAN
SAM UNCLE,ABOHAR,4.0,30,200,OTHER,CONTINENTAL
SHERE PUNJAB VEG,ABOHAR,4.0,300,150,OTHER,NORTH INDIAN
SHRI BALAJI VAISHNO DHABA,ABOHAR,4.5,91,100,OTHER,NORTH INDIAN
HINGLAJ KACHORI BHANDHAR,ABOHAR,4.5,30,100,OTHER,SNACKS
YUMMY HUB,ABOHAR,4.5,91,200,OTHER,INDIAN
CHAWLA SAAB THE JUICE MASTER,ABOHAR,4.5,91,300,OTHER,JUICES
SETHI MILK BADAM,ABOHAR,4.5,30,100,OTHER,SWEETS
SWASTIK DHABA,ABOHAR,4.5,91,200,OTHER,NORTH INDIAN
JODHPURI KACHORI,ABOHAR,4.5,91,100,OTHER,SNACKS
BHARAWAN DA DHABA,ABOHAR,4.5,80,300,OTHER,INDIAN
TANDOORI NIGHTS,ABOHAR,4.5,91,300,OTHER,TANDOOR
ROLL EXPRESS,ABOHAR,4.0,30,200,OTHER,FAST FOOD
WAH JI WAAH VEG AND NON VEG CORNER,ABOHAR,4.5,91,200,OTHER,NORTH INDIAN
SHRI BALAJI FAST FOOD AND VARIETY STORE,ABOHAR,4.5,91,100,OTHER,INDIAN
FOODY MOOD,ABOHAR,5.0,30,300,OTHER,FAST FOOD
PUNJABI TADKA,ABOHAR,4.5,91,700,OTHER,PUNJABI
PUNJABI TADKA CHICKEN HUB,ABOHAR,4.5,91,650,OTHER,NORTH INDIAN
ROYAL CHICKEN,ABOHAR,4.5,30,200,OTHER,MUGHLAI
