name,city,rating,rating_count,cost,cuisine,main_city
AB FOODS POINT,ABOHAR,4.5,91.0,₹ 200,"Beverages,Pizzas",
JANTA SWEET HOUSE,ABOHAR,4.5,80.0,₹ 200,"Sweets,Bakery",
THEKA COFFEE DESI,ABOHAR,4.0,300.0,₹ 100,Beverages,
SINGH HUT,ABOHAR,4.0,30.0,₹ 250,"Fast Food,Indian",
GRILL MASTERS,ABOHAR,4.5,91.0,₹ 250,"Italian-American,Fast Food",
SAM UNCLE,ABOHAR,4.0,30.0,₹ 200,Continental,
SHERE PUNJAB VEG,ABOHAR,4.0,300.0,₹ 150,North Indian,
SHRI BALAJI VAISHNO DHABA,ABOHAR,4.5,91.0,₹ 100,North Indian,
HINGLAJ KACHORI BHANDHAR,ABOHAR,4.5,30.0,₹ 100,"Snacks,Chaat",
YUMMY HUB,ABOHAR,4.5,91.0,₹ 200,Indian,
CHAWLA SAAB THE JUICE MASTER,ABOHAR,4.5,91.0,₹ 300,"Juices,Beverages",
SETHI MILK BADAM,ABOHAR,4.5,30.0,₹ 100,"Sweets,Desserts",
SWASTIK DHABA,ABOHAR,4.5,91.0,₹ 200,North Indian,
JODHPURI KACHORI,ABOHAR,4.5,91.0,₹ 100,Snacks,
BHARAWAN DA DHABA,ABOHAR,4.5,80.0,₹ 300,Indian,
TANDOORI NIGHTS,ABOHAR,4.5,91.0,₹ 300,Tandoor,
ROLL EXPRESS,ABOHAR,4.0,30.0,₹ 200,Fast Food,
WAH JI WAAH VEG AND NON VEG CORNER,ABOHAR,4.5,91.0,₹ 200,"North Indian,Chinese",
SHRI BALAJI FAST FOOD AND VARIETY STORE,ABOHAR,4.5,91.0,₹ 100,Indian,
FOODY MOOD,ABOHAR,5.0,30.0,₹ 300,"Fast Food,Chinese",
PUNJABI TADKA,ABOHAR,4.5,91.0,₹ 700,"Punjabi,North Indian",
PUNJABI TADKA CHICKEN HUB,ABOHAR,4.5,91.0,₹ 650,"North Indian,Tandoor",
